Title,Company,Location,Date,Skills,Link
Backend Engineer Python,BytePitch - Software Labs,"Porto, Porto, Portugal",2023-06-09,"['Blockchain', 'Flask', 'Scrum', 'DevOps', 'Django', 'Fintech', 'Continuous Integration', 'Python', 'Data Engineering', 'AWS', 'Kanban', 'Java', 'Scala']",https://pt.linkedin.com/jobs/view/backend-engineer-python-at-bytepitch-software-labs-3654895534?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=T52BxI%2B6EwRi4L%2FC1bxDhg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Python Developer,Core Tech Recruitment,"Lisbon, Portugal",2023-07-07,"['CI/CD', 'Kubernetes', 'Data Science', 'Unit Testing', 'Python', 'AWS', 'Docker']",https://pt.linkedin.com/jobs/view/senior-python-developer-at-core-tech-recruitment-3652435372?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=hl9XKezIeo9O8VAJVXeS8g%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Software Engineer - Python SE,ComplyAdvantage,"Lisboa, Lisbon, Portugal",2023-07-03,"['Python', 'Java', 'Kotlin', 'Natural Language Processing']",https://pt.linkedin.com/jobs/view/senior-software-engineer-python-se-at-complyadvantage-3633677699?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=6w3etFCfcdRkmd7KIR%2FymQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Developer (m/f),Neotalent,"Lisbon, Lisbon, Portugal",2023-07-07,"['Flask', 'Scrum', 'Git', 'Python', 'Microservices', 'Docker', 'Business Intelligence', 'Android']",https://pt.linkedin.com/jobs/view/python-developer-m-f-at-neotalent-3658303842?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=FSMe5tL9oFtpALp15Y7sUg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Django Backend Developer,Probely,"Lisboa, Lisbon, Portugal",2023-03-09,"['Django', 'Information Security', 'Continuous Integration', 'Python', 'Cybersecurity', 'Security Testing']",https://pt.linkedin.com/jobs/view/django-backend-developer-at-probely-3520146025?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=3dBBMPb4IgofSYLNGQ%2FTiA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Python Developer/Analytics,red.it,"Lisbon, Portugal",2023-07-07,"['Data Analysis', 'SQL', 'Git', 'Scrum', 'Data Integration', 'Django', 'CI/CD', 'Go', 'Python', 'PostgreSQL', 'Kanban', 'Docker']",https://pt.linkedin.com/jobs/view/senior-python-developer-analytics-at-red-it-3658118152?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=HcRo0%2FqrIEMMYrEcgaPBAw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Engineer (Python),Revolut,Portugal,2023-06-19,"['SQL', 'Django', 'Data Privacy', 'Data Pipelines', 'Python', 'Ansible', 'Docker']",https://pt.linkedin.com/jobs/view/software-engineer-python-at-revolut-3194940087?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=WUkpuLX5M0t6WNEG9%2BYbxw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Developer,Noesis,"Lisboa, Lisbon, Portugal",2023-06-08,[],https://pt.linkedin.com/jobs/view/python-developer-at-noesis-3631040207?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=A5SWgxeVMeHqA2czq1dkzg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Engineer (Python),Revolut,"Porto, Porto, Portugal",2023-06-19,"['SQL', 'Django', 'Data Privacy', 'Data Pipelines', 'Python', 'Ansible', 'Docker']",https://pt.linkedin.com/jobs/view/software-engineer-python-at-revolut-3194935635?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=%2FcBRQbG14siA1E9hjqNlig%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
team Python Developer,team.it,"Porto, Porto, Portugal",2023-06-05,"['Python', 'DevOps']",https://pt.linkedin.com/jobs/view/team-python-developer-at-team-it-3628051380?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=1zFp%2Blks7KQX%2FNv6pQ012Q%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Engineer,Axiros,"Lisbon, Lisbon, Portugal",2023-07-07,"['Grafana', 'MySQL', 'C++', 'Python', 'Ansible', 'Java', 'JSON', 'C']",https://pt.linkedin.com/jobs/view/software-engineer-at-axiros-3658148673?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=9OcAUgtvtTMmB7d2c5pwKg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Scientist (Andorra),Gauss & Neumann,"Lisbon, Lisbon, Portugal",2023-02-21,"['SQL', 'Go', 'Python', 'R', 'PHP']",https://pt.linkedin.com/jobs/view/data-scientist-andorra-at-gauss-neumann-3493425989?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=MKv6mS3b3Z8Oj4rua%2BEO1g%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Software Developer - Python,agap2IT Portugal,"Lisboa, Lisbon, Portugal",2023-07-06,"['Flask', 'SQL', 'Django', 'Python', 'PostgreSQL', 'MongoDB']",https://pt.linkedin.com/jobs/view/software-developer-python-at-agap2it-portugal-3656916111?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=RL2WqbhOK5wnwBmUK95Vnw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Developer,Mindpal,"Porto, Porto, Portugal",2023-06-14,"['Flask', 'SQL', 'Scrum', 'Django', 'Kubernetes', 'Python', 'PostgreSQL', 'AWS', 'E-commerce', 'Kanban', 'GraphQL', 'Docker']",https://pt.linkedin.com/jobs/view/python-developer-at-mindpal-3636285322?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=WI0gl7i%2F%2BGCTFS9%2FGpmE1A%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Developer,Neotalent,"Lisboa, Lisbon, Portugal",2023-06-03,"['Flask', 'Scrum', 'Git', 'Python', 'Microservices', 'Docker', 'Business Intelligence', 'Android']",https://pt.linkedin.com/jobs/view/python-developer-at-neotalent-3646677150?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=73UetYRElOeE7X3pQUdGgw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Developer,Ytech,"Lisbon, Lisbon, Portugal",2023-06-21,"['Perl', 'Python', 'Shell Scripting', 'SQL']",https://pt.linkedin.com/jobs/view/python-developer-at-ytech-3447196368?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=H8xUlyfMTZfifJp2Jc%2Btiw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Developer,Mindpal,"Lisboa, Lisbon, Portugal",2023-06-14,"['Flask', 'SQL', 'Scrum', 'Django', 'Kubernetes', 'Python', 'PostgreSQL', 'AWS', 'E-commerce', 'Kanban', 'GraphQL', 'Docker']",https://pt.linkedin.com/jobs/view/python-developer-at-mindpal-3636283390?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=oOidf9cahxCELM7hnSiM%2FQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Scientist,Mollie,Lisbon Metropolitan Area,2023-07-06,"['Data Analysis', 'DevOps', 'Scrum', 'Git', 'Data Science', 'Fintech', 'Machine Learning', 'Python', 'Spark', 'Scikit-learn', 'Google Cloud Platform']",https://pt.linkedin.com/jobs/view/data-scientist-at-mollie-3651720096?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=9CEpeye457%2FD3VKVqns3Mg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Full-Stack Engineer Python/Data Engineer,Intellias,Portugal,2023-06-28,"['Web Development', 'Flask', 'SQL', 'DevOps', 'Azure', 'Data Science', 'Go', 'Data Visualization', 'Data Pipelines', 'Python', 'Data Engineering', 'React', 'Docker', 'Data Quality']",https://pt.linkedin.com/jobs/view/senior-full-stack-engineer-python-data-engineer-at-intellias-3608268739?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=CypbpWQp%2BSku29Pk5kCYag%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Developer,Mindpal,"Amadora, Lisbon, Portugal",2023-06-14,"['Flask', 'SQL', 'Scrum', 'Django', 'Kubernetes', 'Python', 'PostgreSQL', 'AWS', 'E-commerce', 'Kanban', 'GraphQL', 'Docker']",https://pt.linkedin.com/jobs/view/python-developer-at-mindpal-3636281917?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=8GAM38MNY7bJQF706Z5wCQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Senior Data Engineer,Lovys,"Porto, Portugal",2023-07-06,"['Firebase', 'Google Cloud Platform', 'SQL', 'Data Pipelines']",https://pt.linkedin.com/jobs/view/senior-data-engineer-at-lovys-3650958937?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=UFfR%2BDFwgbZRNcy40rRF9w%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Engineer (Research & Development) (m/f/d),Siemens,"Amadora, Lisbon, Portugal",2023-04-19,"['Flask', 'Infrastructure as Code', 'Git', 'IoT', 'Terraform', 'Python', 'Jenkins', 'R', 'Ansible', 'Big Data', 'Cybersecurity', 'Business Intelligence']",https://pt.linkedin.com/jobs/view/python-engineer-research-development-m-f-d-at-siemens-3570801028?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=23Hf4EmsEGyxAM%2BCVzrB%2BA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Developer,Mindpal,"Vila Nova, Vila Real, Portugal",2023-06-14,"['Flask', 'SQL', 'Scrum', 'Django', 'Kubernetes', 'Python', 'PostgreSQL', 'AWS', 'E-commerce', 'Kanban', 'GraphQL', 'Docker']",https://pt.linkedin.com/jobs/view/python-developer-at-mindpal-3636286717?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=1avi3XGsc3prhZvAMNz9GQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Python Software Engineer (m/f/d),much. GmbH,"Lisboa, Lisbon, Portugal",2023-07-07,"['Code Quality', 'ERP Systems', 'Go', 'JavaScript']",https://pt.linkedin.com/jobs/view/python-software-engineer-m-f-d-at-much-gmbh-3657888168?refId=XpB94vhStNDC2oaAyV2BDg%3D%3D&trackingId=6ovS9hmIBrdO%2Bcm6h1MKng%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Aircraft Engineers - Porto (OPO),Ryanair - Europe's Favourite Airline,"Porto, Porto, Portugal",2023-04-03,[],https://pt.linkedin.com/jobs/view/junior-aircraft-engineers-porto-opo-at-ryanair-europe-s-favourite-airline-3590332026?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=NVjvKFMTctRVaB8%2FBUh%2Fxw%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
Python Developer,Noesis,"Lisboa, Lisbon, Portugal",2023-06-08,"['CI/CD', 'Python', 'Microservices', 'Docker']",https://pt.linkedin.com/jobs/view/python-developer-at-noesis-3631040207?refId=Y5ad9XMvTGdMwv1d7l7ETQ%3D%3D&trackingId=dx6DUx%2F0lde2HVYqaiEDlw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
